EXTERIOR,,INTERIOR,YEAR,VIN,,,Package Codes,PACKAGES,MSRP,PROD.,,,DEALER NAME,Port,Carrier,VPC,Details,V-Spec,Sticker,Invoice
 Space Gray Metallic,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C52BE202464,C52,202464,"MSRP.1,ZCP,ZCW,ZPP,ZTP,,302,403,5AC,6FL,655,752",,,,,https://bringatrailer.com/listing/2011-bmw-m3-sedan-competition-package-6-speed/,Orange County BMW,,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C54BE202465,C54,202465,,,,,,,,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C56BE202466,C56,202466,,,,,,,,,,,,,,
381 - Le Mans Blue Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202467,C58,202467,,,,,,,,,,,,,,
A73 - Jerez Black Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C5XBE202468,C5X,202468,,,,,,,,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C51BE202469,C51,202469,,,,,,,,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202470,C58,202470,,,,,,,BMW of Ontario,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C5XBE202471,C5X,202471,,,,,,,BMW of Hawaii,,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C51BE202472,C51,202472,,,,,,,BMW MINI of Concord,,,,,,,
A73 - Jerez Black Met.,,NDH3 - EXT. BAMBOO ,2011,WBSPM9C53BE202473,C53,202473,,,,,,,Passport BMW,,,,,,,
300 - Alpine White,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C55BE202474,C55,202474,,,,,,TOTAL LOSS,New Century BMW,,,,,,,
300 - Alpine White,,NDH1 - EXT. PALLADIUM,2011,WBSPM9C57BE202475,C57,202475,,,,,,,Sonnen BMW,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202476,C59,202476,,,,,,,BMW & Mini of Sterling,,,,,,,
300 - Alpine White,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C50BE202477,C50,202477,,,,,,TOTAL LOSS,BMW of Pembroke Pines,,,,,,,
A30 - Interologos Blue Met.,,NDH1 - EXT. PALLADIUM,2011,WBSPM9C52BE202478,C52,202478,,,,,,,Autogermana Inc.,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C54BE202479,C54,202479,,,,,,,BMW of San Francisco,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C50BE202480,C50,202480,,,,,,,BMW of Dallas / MINI of Dallas,,,,,,,
 Space Gray Metallic,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C52BE202481,C52,202481,,,,,,,,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C54BE202482,C54,202482,,,,,,,Bill Jacobs BMW-Mini,,,,,,,
A30 - Interologos Blue Met.,,NDSW - EXT. BLACK  NOVILLO LEATHER,2011,WBSPM9C56BE202483,C56,202483,,,,,,,Park Ave BMW,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202484,C58,202484,,,,,,,BMW of Darien,,,,,,,
A29 - SIlverstone II,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C5XBE202485,C5X,202485,,,,,,TOTAL LOSS,BMW of Akron,,,,,,,
A29 - SIlverstone II,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C51BE202486,C51,202486,,,,,,,Motor Werks BMW,,,,,,,
300 - Alpine White,,NDSW - EXT. BLACK  NOVILLO LEATHER,2011,WBSPM9C53BE202487,C53,202487,,,,,,,Shelly BMW,BMW of Riverside,,,,,,
300 - Alpine White,,NDSW - EXT. BLACK  NOVILLO LEATHER,2011,WBSPM9C55BE202488,C55,202488,,,,,,,,,,,,,,
381 - Le Mans Blue Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C57BE202489,C57,202489,,,,,,,Daniels BMW MINI,,,,,,,
381 - Le Mans Blue Met.,,NCH1 - PALLADIUM NOVILLO,2011,WBSPM9C53BE202490,C53,202490,,,,,,,BMW of Peoria,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C55BE202491,C55,202491,,,,,,,Princeton BMW,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C57BE202492,C57,202492,,,,,,TOTAL LOSS,Park Place Motor Cars,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202493,C59,202493,,,,,,,,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C50BE202494,C50,202494,,,,,,,Erhard BMW,,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C52BE202495,C52,202495,,,,,,TOTAL LOSS,Prestige BMW,,,,,,,
A73 - Jerez Black Met.,,NCH3 - BAMBOO BEIGE NOVILLO LEATHER,2011,WBSPM9C54BE202496,C54,202496,,,,,,TOTAL LOSS,BMW of Atlantic City,,,,,,,
A73 - Jerez Black Met.,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C56BE202497,C56,202497,,,,,,"CANADA ""SALVAGE""",CANADA,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202498,C58,202498,,,,,,,,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C5XBE202499,C5X,202499,,,,,,,BMW of San Diego,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C52BE202500,C52,202500,,,,,,"TOTAL LOSS Los Angeles, CA and imported to
The Netherlands",BMW of Freehold,Paul Miller BMW,,,,,,
A73 - Jerez Black Met.,,Fox Red Extended Novillo Leather,2011,WBSPM9C54BE202501,C54,202501,,,,,,,BMW of Watertown,NJ,,,,,,
300 - Alpine White,,NCH2 - FOX RED NOVILLO,2011,WBSPM9C56BE202502,C56,202502,,,,,,,,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C58BE202503,C58,202503,,,,,,,,,,,,,,
A75 - Melbourne Red Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C5XBE202504,C5X,202504,,,,,,,Prestige BMW,,,,,,,
A73 - Jerez Black Met.,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C51BE202505,C51,202505,,,,,,,Capital Euro Cars,,,,,,,
A73 - Jerez Black Met.,,NDH3 - EXT. BAMBOO ,2011,WBSPM9C53BE202506,C53,202506,,,,,,,,,,,,,,
A75 - Melbourne Red Met.,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C55BE202507,C55,202507,,,,,,,,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C57BE202508,C57,202508,,,,,,,The BMW Store,,,,,,,
 Space Gray Metallic,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C59BE202509,C59,202509,,,,,,LEMON,Crevier BMW,,,,,,,
 Space Gray Metallic,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C55BE202510,C55,202510,,,,,,,,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C57BE202511,C57,202511,,,,,,,BMW Of Salem,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C59BE202512,C59,202512,,,,,,,Century West BMW,,,,,,,
668 - Jet Black,,GEAT - ANTHRACITE CLOTH,2011,WBSPM9C50BE202513,C50,202513,,,,,,,BMW Of Salem,,,,,,,
300 - Alpine White,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C52BE202514,C52,202514,,,,,,TOTAL LOSS,Century West BMW,,,,,,,
668 - Jet Black,,NCSW - BLACK NOVILLO LEATHER,2011,WBSPM9C54BE202515,C54,202515,,,,,,TOTAL LOSS,Yark BMW,,,,,,,
